AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ,work_notWork
12616,-7672,2692,27.21,-2516,2439,-2225,1
16152,-10792,-300,27.12,7883,-3156,4100,1
18932,-2144,6100,27.17,10565,-12662,7953,1
14452,1208,4088,27.17,-10073,-929,-5078,1
17648,-6128,1388,27.31,19224,104,-3995,1
15712,-6548,1184,27.21,6945,-1217,-2683,1
15428,-2320,3708,27.21,-10043,-62,-652,1
13800,-2736,3760,27.21,315,8954,-3139,1
20084,-6744,356,27.12,8851,4915,-1438,1
17728,-5904,968,27.21,1289,-2602,3385,1
16508,-36,5400,27.21,-1780,-6789,241,1
14212,-6016,3336,27.21,-2240,3674,6295,1
14684,-9000,920,27.26,16165,2376,-1157,1
22648,-748,8384,27.21,227,-9213,-12737,1
14252,4152,1484,27.21,-11887,-8228,-22743,1
14844,10516,10688,27.17,24113,11405,1639,1
9696,4240,3816,27.17,4391,5365,2184,1
14936,10156,4,27.26,6319,-11277,8556,1
16760,1200,-4368,27.21,-2268,161,2524,1
17004,3640,3720,27.21,-11971,-7787,1749,1
13472,13572,14012,27.17,1164,6060,-19317,1
12292,6952,4716,27.21,-2787,-1813,-4300,0
8164,12728,9732,27.26,175,9236,-2778,0
6264,14136,4896,27.21,4070,3565,-2895,0
6332,16668,9728,27.21,7833,5620,459,0
4672,16992,8000,27.12,6095,5913,17198,0
6972,18148,7572,27.31,-3344,-5123,76,0
10036,13848,8504,27.17,-5702,-549,-7677,0
13168,10548,4424,27.21,-10036,-3697,5682,0
14548,6732,8280,27.21,-5805,-12149,11712,0
11688,-3380,5600,27.21,-11864,523,-13125,0
14828,4156,1120,27.26,-5985,-8713,-461,0
19144,5588,-4784,27.17,-10641,-7233,-5811,0
11468,12744,9704,27.31,18227,5299,-5105,0
14080,7124,3924,27.21,-5580,-9328,3815,0
14624,10700,-3944,27.17,-22933,-7414,-9740,0
3448,18444,4408,27.17,-10925,4243,-17009,0
7656,16652,1636,27.21,321,-1632,10292,0
12408,14104,11304,27.12,6009,752,-2605,0
6756,8048,1360,27.31,-5278,-9635,3253,0
11100,14832,5356,27.12,-4457,-5614,-9288,0
